,time,damage
0,2/29/20 05:00,1.0
1,2/29/20 05:09,1.0
2,2/29/20 05:19,1.0
3,2/29/20 05:29,1.0
4,2/29/20 05:39,1.0
5,2/29/20 05:49,1.0
6,2/29/20 05:59,1.0
7,2/29/20 06:10,1.0
8,2/29/20 06:19,1.0
9,2/29/20 06:29,1.0
10,2/29/20 06:39,1.0
11,2/29/20 06:49,1.0
12,2/29/20 06:59,1.0
13,2/29/20 07:09,1.0
14,2/29/20 07:20,1.0
15,2/29/20 07:29,1.0
16,2/29/20 07:39,1.0
17,2/29/20 07:49,1.0
18,2/29/20 07:59,1.0
19,2/29/20 08:09,1.0
20,2/29/20 08:19,1.0
21,2/29/20 08:30,1.0
22,2/29/20 08:40,1.0
23,2/29/20 08:49,1.0
24,2/29/20 08:59,1.0
25,2/29/20 09:09,1.0
26,2/29/20 09:19,1.0
27,2/29/20 09:29,1.0
28,2/29/20 09:40,1.0
29,2/29/20 09:49,1.0
30,2/29/20 09:59,1.0
31,2/29/20 10:09,1.0
32,2/29/20 10:19,1.0
33,2/29/20 10:29,1.0
34,2/29/20 10:39,1.0
35,2/29/20 10:50,1.0
36,2/29/20 10:59,1.0
37,2/29/20 11:09,1.0
38,2/29/20 11:19,1.0
39,2/29/20 11:29,1.0
40,2/29/20 11:39,1.0
41,2/29/20 11:49,1.0
42,2/29/20 12:00,1.0
43,2/29/20 12:09,1.0
44,2/29/20 12:19,1.0
45,2/29/20 12:29,1.0
46,2/29/20 12:39,1.0
47,2/29/20 12:49,1.0
48,2/29/20 12:59,1.0
49,2/29/20 13:10,1.0
50,2/29/20 13:20,1.0
51,2/29/20 13:29,1.0
52,2/29/20 13:39,1.0
53,2/29/20 13:49,1.0
54,2/29/20 13:59,1.0
55,2/29/20 14:09,1.0
56,2/29/20 14:20,1.0
57,2/29/20 14:30,1.0
58,2/29/20 14:39,1.0
59,2/29/20 14:49,1.0
60,2/29/20 14:59,1.0
61,2/29/20 15:09,1.0
62,2/29/20 15:19,1.0
63,2/29/20 15:30,1.0
64,2/29/20 15:40,1.0
65,2/29/20 15:49,1.0
66,2/29/20 16:09,1.0
67,2/29/20 16:19,1.0
68,2/29/20 16:29,1.0
69,2/29/20 16:40,1.0
70,2/29/20 16:50,1.0
71,2/29/20 16:59,1.0
72,2/29/20 17:09,1.0
73,2/29/20 17:19,1.0
74,2/29/20 17:29,1.0
75,2/29/20 17:39,1.0
76,2/29/20 17:50,1.0
77,2/29/20 18:00,1.0
78,2/29/20 18:09,1.0
79,2/29/20 18:19,1.0
80,2/29/20 18:29,1.0
81,2/29/20 18:39,1.0
82,2/29/20 18:49,1.0
83,2/29/20 18:59,1.0
84,2/29/20 19:10,1.0
85,2/29/20 19:19,1.0
86,2/29/20 19:29,1.0
87,2/29/20 19:39,1.0
88,2/29/20 19:49,1.0
89,2/29/20 19:59,1.0
90,2/29/20 20:09,1.0
91,2/29/20 20:20,1.0
92,2/29/20 20:29,1.0
93,2/29/20 20:39,1.0
94,2/29/20 20:49,1.0
95,2/29/20 20:59,1.0
96,2/29/20 21:09,1.0
97,2/29/20 21:20,1.0
98,2/29/20 21:30,1.0
99,2/29/20 21:39,1.0
100,2/29/20 21:49,1.0
101,2/29/20 21:59,1.0
102,2/29/20 22:09,1.0
103,2/29/20 22:19,1.0
104,2/29/20 22:29,1.0
105,2/29/20 22:40,1.0
106,2/29/20 22:49,1.0
107,2/29/20 22:59,1.0
108,2/29/20 23:09,1.0
109,2/29/20 23:19,1.0
110,2/29/20 23:29,1.0
111,2/29/20 23:39,1.0
112,2/29/20 23:50,1.0
113,3/1/20 00:00,1.0
114,3/1/20 00:09,1.0
115,3/1/20 00:19,1.0
116,3/1/20 00:29,1.0
117,3/1/20 00:39,1.0
118,3/1/20 00:50,1.0
119,3/1/20 01:00,1.0
120,3/1/20 01:09,1.0
121,3/1/20 01:19,1.0
122,3/1/20 01:29,1.0
123,3/1/20 01:39,1.0
124,3/1/20 01:49,1.0
125,3/1/20 02:00,1.0
126,3/1/20 02:10,1.0
127,3/1/20 02:19,1.0
128,3/1/20 02:29,1.0
129,3/1/20 02:39,1.0
130,3/1/20 02:49,1.0
131,3/1/20 02:59,1.0
132,3/1/20 03:10,1.0
133,3/1/20 03:20,1.0
134,3/1/20 03:29,1.0
135,3/1/20 03:39,1.0
136,3/1/20 03:49,1.0
137,3/1/20 03:59,1.0
138,3/1/20 04:09,1.0
139,3/1/20 04:20,1.0
140,3/1/20 04:30,1.0
141,3/1/20 04:39,1.0
142,3/1/20 04:49,1.0
143,3/1/20 04:59,1.0
144,3/1/20 05:09,1.0
145,3/1/20 05:19,1.0
146,3/1/20 05:30,1.0
147,3/1/20 05:40,1.0
148,3/1/20 05:49,1.0
149,3/1/20 05:59,1.0
150,3/1/20 06:09,1.0
151,3/1/20 06:19,1.0
152,3/1/20 06:29,1.0
153,3/1/20 06:39,1.0
154,3/1/20 06:50,1.0
155,3/1/20 06:59,1.0
156,3/1/20 07:09,1.0
157,3/1/20 07:19,1.0
158,3/1/20 07:29,1.0
159,3/1/20 07:39,1.0
160,3/1/20 07:49,1.0
161,3/1/20 08:00,1.0
162,3/1/20 08:10,1.0
163,3/1/20 08:19,1.0
164,3/1/20 08:29,1.0
165,3/1/20 08:39,1.0
166,3/1/20 08:49,1.0
167,3/1/20 08:59,1.0
168,3/1/20 09:10,1.0
169,3/1/20 09:20,1.0
170,3/1/20 09:29,1.0
